timestamp_created,timestamp_post_sentiment,entry_price_created,entry_price_post_sentiment,entry_price_post_sentiment_5,exit_price_post,exit_price_post_5,exit_timestamp_post,exit_timestamp_post_5,exit_reason_post,exit_reason_post_5,action,post_text,source,match_method,match_score
2025-10-01 14:14:20,2025-10-01 14:14:22.850000+00:00,219.15,219.14,219.16,219.88,219.92,2025-10-01 14:27:43,2025-10-01 14:28:02,stop_loss,stop_loss,SHORT,US PAUSES $18B IN NYC INFRASTRUCTURE FUNDING: VOUGHT,Twitter WalterBloomberg,exact_normalized,100.0
2025-10-03 15:31:50,2025-10-03 15:31:53.430000+00:00,232.27,232.25,232.26,233.77,233.73,2025-10-03 15:46:53,2025-10-03 15:46:58,hold_time,hold_time,LONG,"CHINA PUSHES TRUMP TO DROP CURBS AS IT DANGLES INVESTMENT 

China is pushing to roll back restrictions on Chinese deals in the US, dangling the prospect of massive investment package. The demands include lowering tariffs on inputs used by any Chinese factories built in the US as a results.",Twitter WalterBloomberg,exact_normalized,100.0
2025-10-02 10:39:45,2025-10-02 10:39:48.874000+00:00,225.26,225.27,225.38,225.19,225.19,2025-10-02 10:54:48,2025-10-02 10:54:53,hold_time,hold_time,LONG,"US CHALLENGER JOB CUTS SEP: 54,064 (PREV 85,979)",Twitter WalterBloomberg,exact_normalized,100.0
2025-10-10 14:57:52,2025-10-10 14:58:03.778000+00:00,222.23,221.02,221.12,218.41,218.56,2025-10-10 15:13:03,2025-10-10 15:13:08,hold_time,hold_time,SHORT,"Some very strange things are happening in China! They are becoming very hostile, and sending letters to Countries throughout the World, that they want to impose Export Controls on each and every element of production having to do with Rare Earths, and virtually anything else they can think of, even if it’s not manufactured in China. Nobody has ever seen anything like this but, essentially, it would “clog” the Markets, and make life difficult for virtually every Country in the World, especially for China. We have been contacted by other Countries who are extremely angry at this great Trade hostility, which came out of nowhere. Our relationship with China over the past six months has been a very good one, thereby making this move on Trade an even more surprising one. I have always felt that they’ve been lying in wait, and now, as usual, I have been proven right! There is no way that China should be allowed to hold the World “captive,” but that seems to have been their plan for quite some time, starting with the “Magnets” and, other Elements that they have quietly amassed into somewhat of a Monopoly position, a rather sinister and hostile move, to say the least. But the U.S. has Monopoly positions also, much stronger and more far reaching than China’s. I have just not chosen to use them, there was never a reason for me to do so — UNTIL NOW! The letter they sent is many pages long, and details, with great specificity, each and every Element that they want to withhold from other Nations. Things that were routine are no longer routine at all. I have not spoken to President Xi because there was no reason to do so. This was a real surprise, not only to me, but to all the Leaders of the Free World. I was to meet President Xi in two weeks, at APEC, in South Korea, but now there seems to be no reason to do so. The Chinese letters were especially inappropriate in that this was the Day that, after three thousand years of bedlam and fighting, there is PEACE IN THE MIDDLE EAST. I wonder if that timing was coincidental? Dependent on what China says about the hostile “order” that they have just put out, I will be forced, as President of the United States of America, to financially counter their move. For every Element that they have been able to monopolize, we have two. I never thought it would come to this but perhaps, as with all things, the time has come. Ultimately, though potentially painful, it will be a very good thing, in the end, for the U.S.A. One of the Policies that we are calculating at this moment is a massive increase of Tariffs on Chinese products coming into the United States of America. There are many other countermeasures that are, likewise, under serious consideration. Thank you for your attention to this matter!   DONALD J. TRUMP, PRESIDENT OF THE UNITED STATES OF AMERICA",Donald J. Trump,exact_normalized,100.0
2025-10-14 23:26:43,2025-10-14 23:26:51.268000+00:00,202.83,202.79,202.99,202.64,202.67,2025-10-14 23:41:51,2025-10-14 23:41:56,hold_time,hold_time,LONG,"Congressman Bob Onder is a MAGA Warrior who is doing a fantastic job representing Missouri’s 3rd Congressional District!   A Proven Leader, Bob has served his Community as a Physician, Attorney, and Highly Respected State Legislator, prior to becoming a distinguished Congressman. In Congress, he is working tirelessly to Grow our Economy, Cut Taxes and Regulations, Promote School Choice, Champion American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Stop Migrant Crime, Strengthen our Military/Veterans, and Protect our always under siege Second Amendment.   Dr. Bob Onder has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN!",Donald J. Trump,exact_normalized,100.0
2025-10-24 13:45:00,2025-10-24 13:45:06.156000+00:00,191.73,191.48,191.66,190.79,190.9,2025-10-24 13:52:09,2025-10-24 13:48:49,stop_loss,stop_loss,LONG,*US S&P OCT. COMPOSITE PMI AT 54.8; PREV. 53.9 [US S&P Composite PMI Flash],Economic Event,exact_normalized,100.0
2025-10-24 06:00:01,2025-10-24 06:00:05.902000+00:00,193.24,193.2,193.59,192.53,192.92,2025-10-24 06:08:17,2025-10-24 06:07:07,stop_loss,stop_loss,LONG,*UK SEPT. CORE RETAIL SALES RISE 0.6% M/M; EST. -0.6% [UK Core Retail Sales MoM],Economic Event,exact_normalized,100.0
2025-10-21 20:51:51,2025-10-21 20:51:52.885000+00:00,191.43,191.45,191.51,191.53,191.53,2025-10-21 21:06:52,2025-10-21 21:06:57,hold_time,hold_time,LONG,*Trump Administration to Release Over $3 Billion in Farm Aid Frozen by Shutdown -- WSJ,DJ,exact_raw,100.0
2025-10-22 21:34:10,2025-10-22 21:34:13.490000+00:00,177.96,177.8,177.62,178.39,178.24,2025-10-22 21:41:44,2025-10-22 21:40:11,stop_loss,stop_loss,SHORT,"TRUMP: AS OF TODAY, STOPPED ALL PAYMENTS GOING TO COLOMBIA",Twitter WalterBloomberg,exact_normalized,100.0
2025-10-21 23:08:26,2025-10-21 23:08:33.349000+00:00,188.63,188.67,188.75,188.03,188.12,2025-10-21 23:15:01,2025-10-21 23:13:43,stop_loss,stop_loss,LONG,"Congressman Paul Gosar, D.D.S., is an America First Patriot, who is doing a fantastic job representing Arizona’s 9th Congressional District!   A MAGA Warrior, who has been with us from the very beginning, Paul is working hard to Grow our Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Advance American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Support our Brave Military/Veterans, and Protect our always under siege Second Amendment.   Dr. Paul Gosar has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN!",Donald J. Trump,exact_normalized,100.0
